,yr_built,sqft_lot,sqft_lot15,sqft_living
0,1955,5650,5650,1180
1,1951,7242,7639,2570
2,1933,10000,8062,770
3,1965,5000,5000,1960
4,1987,8080,7503,1680
5,2001,101930,101930,5420
6,1995,6819,6819,1715
7,1963,9711,9711,1060
8,1960,7470,8113,1780
9,2003,6560,7570,1890
10,1965,9796,8925,3560
11,1942,6000,6000,1160
12,1927,19901,12697,1430
13,1977,9680,10208,1370
14,1900,4850,4850,1810
15,1979,5000,4000,2950
16,1994,14040,14018,1890
17,1916,4300,4300,1600
18,1921,9850,5095,1200
19,1969,9774,8850,1250
20,1947,4980,4980,1620
21,1968,44867,20336,3050
22,1995,6300,7005,2270
23,1985,9643,8386,1070
24,1985,6500,6865,2450
25,1941,4697,4705,1710
26,1915,2691,3573,2450
27,1909,1581,3861,1400
28,1948,6380,6235,1520
29,2005,7173,6026,2570
30,2003,3980,3980,2320
31,2005,1265,1756,1190
32,1929,5000,5000,2330
33,1929,3000,5080,1090
34,1981,6659,8720,2060
35,1930,3060,3264,2300
36,1933,34848,11467,1660
37,1904,6000,4700,2360
38,1969,8075,7800,1220
39,1996,7553,11884,2620
40,2000,5520,5669,2570
41,1984,24186,30617,4220
42,2014,5639,5639,3595
43,1922,2280,2640,1570
44,1959,9656,8808,1280
45,2003,13603,9232,3160
46,1966,8528,8840,990
47,1981,13416,13685,2290
48,1953,5963,5100,1250
49,1953,65005,72513,2753
50,1955,9199,9364,1190
51,1966,9134,9133,3150
52,1950,4080,4080,1410
53,1981,8550,6738,1980
54,1927,6000,6000,2730
55,1995,5000,5000,2830
56,2008,4495,4500,2250
57,2003,4750,4750,2420
58,1968,14342,11044,3250
59,1991,9976,8542,1850
60,1959,21235,18900,2150
61,1954,8400,8750,1260
62,1973,8690,9500,2519
63,2014,1044,3090,1540
64,1979,6000,4080,1660
65,1925,3809,4000,2770
66,1989,11049,11049,2720
67,2005,4648,4557,2240
68,1968,12070,12635,1000
69,1965,20158,20158,3200
70,1973,50094,38917,4770
71,1972,5612,4745,1260
72,1916,7807,7807,2750
73,2005,5000,5000,2380
74,1965,50529,50529,1790
75,1986,35102,35020,3430
76,1956,7300,7500,1760
77,1941,5060,5060,1040
78,1956,5060,5693,1410
79,2002,39683,39750,3450
80,2003,5100,5363,2350
81,1992,5889,6405,1900
82,1948,6720,6720,2020
83,1964,8712,8797,1680
84,1952,6634,7203,960
85,1925,3600,4800,2140
86,1961,8400,8165,2660
87,2006,6278,7349,2770
88,1979,2040,2025,1610
89,2006,1066,1106,1030
90,1988,7403,7510,1980
91,2001,6353,6250,3520
92,1962,10500,10500,1200
93,1939,5000,4500,1580
94,1939,5000,4500,1580
95,1946,10250,6045,3300
96,1967,15681,15616,1960
97,1975,6400,6400,1160
98,1980,41800,135036,1810
99,1992,36847,35065,2320
100,1910,13241,4500,2070
101,1929,3478,3478,1980
102,1983,107593,47777,2190
103,1950,8113,8113,2920
104,1954,33919,14910,1210
105,1978,10005,8162,2340
106,1939,4005,4005,1670
107,1985,2493,4966,1240
108,1991,28037,35001,3140
109,1942,12342,9433,2030
110,1984,9624,9636,2310
111,1905,3328,3536,1260
112,1980,12600,11656,1540
113,1971,5969,5500,2080
114,2001,16171,8517,3230
115,1900,6350,6350,4380
116,2010,1102,3166,1590
117,1945,6780,6780,880
118,1950,9600,9000,1570
119,1925,2982,4040,1610
120,1964,6474,10856,2400
121,1987,9132,9104,1450
122,1953,6000,6000,770
123,1924,4400,4400,2100
124,1990,10204,13992,2910
125,1914,17789,11275,2750
126,1967,8201,8712,2100
127,1978,8811,8400,2160
128,1926,4960,4960,2320
129,2004,4310,3748,2070
130,1986,7875,7680,1060
131,1986,9603,9793,2010
132,1989,111078,88500,3950
133,2014,2287,1662,2010
134,2005,2278,2285,2140
135,1956,17390,19265,1320
136,1968,7840,8140,2020
137,1968,10002,10436,2590
138,1981,4440,5715,1190
139,2014,1249,1310,1170
140,1925,3200,3600,1110
141,1968,9375,9375,2820
142,1962,8579,8579,1610
143,1923,8097,7940,1060
144,1961,8517,8824,2030
145,1994,315374,87991,3670
146,1905,4000,4000,2550
147,2007,60984,193842,2420
148,1960,12500,18000,2260
149,1947,3455,4599,1430
150,1990,3090,3090,1360
151,1947,5000,5000,1110
152,1954,8200,8633,1250
153,2006,19850,9750,5180
154,1942,5100,5100,700
155,1967,7669,7669,1180
156,1996,25245,13675,3960
157,1967,7500,7875,2640
158,1916,7198,7198,1270
159,1968,11180,11180,1760
160,1962,8632,11680,2060
161,1962,9660,9660,1780
162,2000,16603,12601,3400
163,1979,7280,8152,1910
164,1975,38332,36590,2020
165,1976,7000,7500,1580
166,1949,7250,9750,1340
167,1999,4499,4500,2680
168,1979,9750,8750,2680
169,1964,8336,7288,1370
170,1954,21000,7920,1560
171,1978,7140,7350,2160
172,1955,7912,7940,1340
173,1984,35003,35230,3880
174,1980,8190,8335,2590
175,2008,1100,1795,1120
176,1986,5400,2150,1970
177,1901,4800,4800,1220
178,1975,7560,8941,1950
179,1949,8220,8280,1350
180,1988,5797,6183,1670
181,1925,5125,5375,2380
182,1961,9600,9600,2440
183,1996,3419,3417,1050
184,1993,13412,9984,3130
185,1986,12850,10270,4090
186,1969,10000,8910,1490
187,1987,8744,8744,1900
188,1901,2400,4400,1330
189,1975,10026,9340,2230
190,1977,9480,8400,1650
191,1959,8820,7980,1190
192,1959,9897,10083,2140
193,1962,7508,7818,2180
194,1948,10228,10228,1060
195,2003,5025,5001,1690
196,1920,6480,6480,1970
197,2007,4084,2385,2150
198,1997,66211,67268,1910
199,1969,155073,50965,1350
200,1943,11725,9514,860
201,1994,14952,10450,1940
202,1952,5000,5000,1010
203,1976,7370,7500,1300
204,1962,8450,8040,910
205,1966,11010,10744,2480
206,2010,4587,4587,2440
207,1915,5864,5000,1010
208,1941,9600,14280,900
209,1920,3404,1312,2300
210,1993,7579,6397,1550
211,2014,1566,1327,1270
212,1983,12032,12368,2240
213,2005,17936,18386,2714
214,1978,6270,8700,1720
215,1923,16400,14459,850
216,1957,33474,20953,3300
217,2000,5692,5390,2250
218,1947,14864,5184,3900
219,1947,10800,12040,1320
220,1999,6440,8127,2760
221,1961,9750,10125,1750
222,1987,19436,10055,2330
223,1966,16020,9583,2220
224,1994,8379,8031,2020
225,1942,7500,7392,1250
226,2005,6516,6009,1510
227,1978,9753,9753,1720
228,1961,15246,13068,1430
229,2004,4729,4729,1480
230,1915,15798,13193,1450
231,1960,15347,15347,2280
232,1978,7350,8236,2940
233,1961,10200,13702,1000
234,1947,5280,4800,2480
235,1983,28040,35096,3760
236,1976,94300,80100,2220
237,1904,4740,4740,1970
238,1993,221284,148539,3830
239,1965,14034,13988,4410
240,1968,8505,8640,1430
241,1940,6000,4960,830
242,1925,5000,3750,1430
243,1954,8316,8316,1300
244,1918,3060,3060,1030
245,1990,11872,10377,2740
246,2000,8354,18841,3650
247,1954,5120,2566,720
248,1976,7312,7650,2010
249,1918,3000,3000,1560
250,1978,7209,7209,1810
251,2001,7685,6567,3360
252,1991,36224,36224,1510
253,1953,3538,6331,1400
254,1987,7442,6458,1730
255,1928,9191,6816,1420
256,1955,7620,7620,2360
257,1974,11455,10650,1580
258,1979,10170,10098,1230
259,2006,4425,5659,2460
260,1911,4400,4400,1660
261,1960,8470,8470,1270
262,1979,40510,33450,2100
263,1930,5040,2580,770
264,1936,10079,14267,760
265,1988,7280,7475,1700
266,1954,10701,6350,1120
267,1937,4500,4465,1070
268,1979,9900,8250,2070
269,1982,20100,20060,5050
270,1989,57346,47443,5310
271,1939,7538,7530,1040
272,1967,11390,8164,1700
273,1961,5898,7619,1300
274,1954,1306,2225,1080
275,2006,4510,4927,2653
276,1960,16258,10530,2290
277,2014,26300,12136,3820
278,1997,49375,49385,2210
279,1908,6000,6000,2390
280,1969,11325,11088,2600
281,1931,5265,8775,860
282,1905,8480,7556,3830
283,2005,7048,7864,3500
284,1988,13959,13300,2420
285,1992,8666,8100,2720
286,1979,13500,9750,2500
287,1980,6720,7320,1670
288,1985,10300,10300,2900
289,1954,14100,13527,1640
290,1968,15770,15256,1890
291,1975,9025,9600,2950
292,1992,9528,9937,2160
293,1986,11060,11004,3280
294,1929,4166,4166,1970
295,1994,22111,11374,3360
296,1993,8959,7316,1320
297,1990,7286,7220,2650
298,1963,8880,5592,2030
299,1957,11914,9052,1590
300,2002,18641,19508,4550
301,1998,7632,7903,2440
302,1948,9000,7310,1940
303,2006,3810,4590,2040
304,1964,8750,10139,2200
305,1913,3300,4000,1920
306,1965,7750,8275,1800
307,1984,7297,9781,2180
308,1908,5000,5000,1010
309,1960,10574,8330,3320
310,1928,4000,5750,2370
311,1915,78408,78408,1660
312,1921,9050,5400,3650
313,1997,12103,11244,4290
314,1997,12103,11244,4290
315,1979,7700,7350,1950
316,1948,14052,8162,2590
317,1988,64904,57500,1930
318,1916,3864,3864,1470
319,1943,8775,8775,800
320,2013,7119,8384,3150
321,1984,16200,17958,2030
322,2003,11204,9518,1450
323,1969,10248,9753,1510
324,1922,12092,7460,1240
325,1922,12092,7460,1240
326,1987,45004,35781,3030
327,1922,4400,5500,2050
328,1952,7636,7600,1000
329,1977,10289,10004,2370
330,1951,6750,6120,2800
331,1955,11180,7955,2240
332,1991,10530,10450,1810
333,1924,5000,5000,1070
334,1968,9525,9525,2490
335,2003,5238,5894,1960
336,2004,5569,11045,2930
337,1911,3500,3750,1510
338,1954,8250,8000,1420
339,1954,11547,78408,1740
340,1962,43995,14764,2560
341,2010,8414,8066,3040
342,1957,6840,8691,2500
343,1991,20000,20000,1275
344,2002,5823,5823,2580
345,1943,7134,7138,1000
346,1943,7134,7138,1000
347,1930,32633,32156,1070
348,1987,13464,12080,1390
349,1973,7690,8646,2500
350,1967,12120,19207,560
351,1965,10460,10180,2270
352,1954,14400,14400,1900
353,1907,3120,3120,990
354,1969,19800,22654,1550
355,1955,7475,5766,2200
356,2005,4862,5091,1910
357,1954,9600,10530,1750
358,1928,77972,17689,1330
359,2000,5750,5750,2440
360,1992,29970,28399,1640
361,1978,11340,11340,2760
362,1994,7912,8168,1820
363,2013,5608,9363,2110
364,1966,9570,8800,3040
365,1994,40438,44049,1840
366,2002,10400,17449,2990
367,1991,15420,21455,3520
368,1989,69415,24361,2440
369,1986,7500,7650,2090
370,1993,7222,7220,1430
371,1954,10754,6929,2180
372,1954,10754,6929,2180
373,2004,9914,9721,3450
374,1994,7562,7625,1450
375,2004,7331,7447,3230
376,1940,13500,12600,1640
377,1997,7750,7500,1590
378,1960,2849,3120,2020
379,1904,3348,2577,1300
380,1954,209959,19868,1380
381,1986,14338,14142,4040
382,2001,5337,6930,2130
383,1968,7800,8050,2550
384,1998,14984,19009,4800
385,1969,11585,9691,2510
386,1983,9600,9600,1410
387,1979,7352,7350,1650
388,1993,13780,12000,2120
389,1954,10726,10020,2040
390,1957,7620,7620,1550
391,1979,3128,2856,1980
392,2005,26977,27743,1600
393,1953,12090,12239,3300
394,1983,16619,16553,3840
395,1950,10000,9600,1220
396,1958,8800,8800,2720
397,1962,25600,10071,1940
398,1909,3000,3500,2160
399,1968,8750,8750,1530
400,2008,2096,1543,1710
401,1974,16980,16963,3730
402,1937,5000,4500,940
403,1994,22357,22357,1750
404,1994,6753,7107,1820
405,2001,2000,1352,1510
406,2001,1213,3235,1290
407,1998,5250,5250,1570
408,1995,6957,6996,1930
409,1986,40139,36852,2840
410,1991,8134,8134,1550
411,2006,143947,143947,833
412,1978,32239,36497,2990
413,1995,7251,8118,2000
414,1920,7480,6867,2390
415,1967,37461,18295,2910
416,1964,174240,174240,2085
417,1962,9351,8660,2200
418,2012,5028,5465,1860
419,1999,171626,211267,6070
420,1941,3960,4050,950
421,1955,9135,9800,1600
422,1988,11632,11632,2250
423,1985,10255,10094,2280
424,1909,5120,5120,940
425,1996,8500,8140,1530
426,1947,27260,39480,2190
427,1976,15021,15715,2350
428,1971,7680,9660,1440
429,2005,4052,5082,2200
430,1990,8250,8250,2290
431,1987,19700,21887,4040
432,1922,3277,3277,2610
433,2005,2138,2094,1490
434,2003,5280,4674,2450
435,1976,9627,9131,1710
436,1983,11800,11398,4870
437,1991,8750,9003,3130
438,2000,1372,3090,1270
439,1977,10875,11760,2120
440,1954,8230,4910,1670
441,1974,11576,7519,2070
442,1953,5332,5406,1420
443,1980,219978,210394,1250
444,1960,7980,8050,940
445,1968,9102,9760,1920
446,2005,9816,7704,3545
447,1972,5460,5460,1260
448,1975,7200,7221,2340
449,1977,9263,9450,2590
450,1977,24920,13838,3970
451,1965,9732,10007,1220
452,1976,10403,10209,1400
453,1983,16117,16117,2360
454,1960,9897,10005,1870
455,2001,5802,5788,2830
456,1994,3640,3710,2260
457,1980,20978,75396,1970
458,1966,9225,9600,3140
459,1986,8659,8223,1240
460,2007,7832,8567,3450
461,1989,8491,8049,2570
462,1985,3413,3777,1510
463,1988,11250,11250,2390
464,1953,7000,7000,980
465,1912,5050,7500,430
466,1954,6360,6360,1480
467,1997,7324,7329,1850
468,1947,28025,14833,2270
469,1993,5192,6200,1810
470,1930,17600,12950,1610
471,2000,6161,7709,3840
472,1928,8400,8400,4110
473,2000,10259,11919,4190
474,2011,6298,7111,3390
475,2003,3006,3000,1890
476,2005,2527,4173,1610
477,1949,4590,5400,1050
478,1918,6550,6550,630
479,1975,10650,10988,2910
480,1955,8640,9000,1700
481,1990,8130,7691,1950
482,1973,9773,11553,2990
483,1950,6000,6012,1350
484,1993,181319,181319,4860
485,1978,7725,8250,2160
486,1998,11793,11793,4860
487,1917,5000,5000,890
488,2002,7302,7302,2810
489,1977,9500,11081,3400
490,1963,7350,7350,1580
491,1987,5036,4921,1680
492,1968,11230,10794,1300
493,1960,14062,10392,2820
494,1972,6710,6600,1510
495,2004,1391,1350,1230
496,1925,4140,4420,2110
497,1958,19635,12410,3080
498,1900,5750,4025,1490
499,2000,4500,4816,2120
500,2003,5438,5335,3180
501,1929,3825,3825,1490
502,1966,11947,12825,1930
503,1999,7800,10000,2770
504,1963,11610,10200,1670
505,1993,7200,11682,1330
506,1924,3328,3333,1210
507,1941,5100,5100,1190
508,1946,6872,5538,1540
509,2006,10800,7200,4030
510,1981,7559,8750,2430
511,2005,7787,7787,2600
512,1990,57063,50529,4410
513,1949,8184,660,1330
514,1951,5000,5000,1900
515,1950,7680,7680,1100
516,1932,39150,11811,1980
517,2001,7745,8615,2400
518,1916,8036,9323,4760
519,2005,194278,178160,3180
520,1958,7560,7560,1190
521,1943,6000,6840,630
522,2005,5105,4011,2530
523,1930,11054,9040,1690
524,1951,5000,5000,940
525,1952,9119,9121,1240
526,2003,6587,6587,3040
527,2001,230652,233971,6050
528,1944,7085,7085,1590
529,1984,36947,28837,2500
530,1978,7848,7848,1780
531,1978,1898,1898,1360
532,1987,76230,49206,4740
533,1962,9600,9660,1010
534,1971,7405,7405,1040
535,1985,6655,7529,1610
536,1979,8268,8190,1570
537,1900,4000,4000,1510
538,1994,6082,6987,1360
539,1999,5106,5109,1970
540,1976,24069,104374,5403
541,2003,4350,4350,1560
542,1973,12000,9880,2320
543,1967,40518,13492,2120
544,1983,18500,14479,2120
545,1988,29242,24728,3350
546,1991,9614,9770,2380
547,2008,649,928,1070
