,yr_built,sqft_lot,sqft_lot15,sqft_living
0,1,1,1,0
1,0,1,2,3
2,0,2,2,0
3,1,0,0,2
4,2,2,1,1
5,3,3,3,3
6,2,1,1,1
7,1,2,2,0
8,1,1,2,1
9,3,1,1,1
10,1,2,2,3
11,0,1,1,0
12,0,3,3,1
13,2,2,3,0
14,0,0,0,1
15,2,0,0,3
16,2,3,3,1
17,0,0,0,1
18,0,2,0,0
19,1,2,2,0
20,0,0,0,1
21,1,3,3,3
22,2,1,1,2
23,2,2,2,0
24,2,1,1,2
25,0,0,0,1
26,0,0,0,2
27,0,0,0,0
28,0,1,1,1
29,3,1,1,3
30,3,0,0,2
31,3,0,0,0
32,0,0,0,2
33,0,0,0,0
34,2,1,2,2
35,0,0,0,2
36,0,3,3,1
37,0,1,0,2
38,1,2,2,0
39,2,1,3,3
40,3,1,1,3
41,2,3,3,3
42,3,1,1,3
43,0,0,0,1
44,1,2,2,0
45,3,3,2,3
46,1,2,2,0
47,2,3,3,2
48,1,1,0,0
49,1,3,3,3
50,1,2,2,0
51,1,2,2,3
52,0,0,0,0
53,2,2,1,2
54,0,1,1,3
55,2,0,0,3
56,3,0,0,2
57,3,0,0,2
58,1,3,3,3
59,2,2,2,1
60,1,3,3,2
61,1,2,2,0
62,1,2,2,2
63,3,0,0,1
64,2,1,0,1
65,0,0,0,3
66,2,3,3,3
67,3,0,0,2
68,1,3,3,0
69,1,3,3,3
70,1,3,3,3
71,1,1,0,0
72,0,2,2,3
73,3,0,0,2
74,1,3,3,1
75,2,3,3,3
76,1,1,1,1
77,0,1,0,0
78,1,1,1,0
79,3,3,3,3
80,3,1,1,2
81,2,1,1,1
82,0,1,1,2
83,1,2,2,1
84,1,1,1,0
85,0,0,0,2
86,1,2,2,3
87,3,1,1,3
88,2,0,0,1
89,3,0,0,0
90,2,1,1,2
91,3,1,1,3
92,1,2,3,0
93,0,0,0,1
94,0,0,0,1
95,0,2,1,3
96,1,3,3,2
97,1,1,1,0
98,2,3,3,1
99,2,3,3,2
100,0,3,0,2
101,0,0,0,2
102,2,3,3,2
103,0,2,2,3
104,1,3,3,0
105,2,2,2,2
106,0,0,0,1
107,2,0,0,0
108,2,3,3,3
109,0,3,2,2
110,2,2,2,2
111,0,0,0,0
112,2,3,3,1
113,1,1,1,2
114,3,3,2,3
115,0,1,1,3
116,3,0,0,1
117,0,1,1,0
118,0,2,2,1
119,0,0,0,1
120,1,1,3,2
121,2,2,2,1
122,1,1,1,0
123,0,0,0,2
124,2,2,3,3
125,0,3,3,3
126,1,2,2,2
127,2,2,2,2
128,0,0,0,2
129,3,0,0,2
130,2,2,2,0
131,2,2,2,2
132,2,3,3,3
133,3,0,0,2
134,3,0,0,2
135,1,3,3,0
136,1,2,2,2
137,1,2,3,3
138,2,0,1,0
139,3,0,0,0
140,0,0,0,0
141,1,2,2,3
142,1,2,2,1
143,0,2,2,0
144,1,2,2,2
145,2,3,3,3
146,0,0,0,2
147,3,3,3,2
148,1,3,3,2
149,0,0,0,1
150,2,0,0,0
151,0,0,0,0
152,1,2,2,0
153,3,3,2,3
154,0,1,0,0
155,1,2,2,0
156,2,3,3,3
157,1,1,2,3
158,0,1,1,0
159,1,3,3,1
160,1,2,3,2
161,1,2,2,1
162,3,3,3,3
163,2,1,2,1
164,1,3,3,2
165,2,1,1,1
166,0,1,2,0
167,3,0,0,3
168,2,2,2,3
169,1,2,1,0
170,1,3,2,1
171,2,1,1,2
172,1,2,2,0
173,2,3,3,3
174,2,2,2,3
175,3,0,0,0
176,2,1,0,2
177,0,0,0,0
178,1,1,2,2
179,0,2,2,0
180,2,1,1,1
181,0,1,1,2
182,1,2,2,2
183,2,0,0,0
184,2,3,2,3
185,2,3,3,3
186,1,2,2,1
187,2,2,2,1
188,0,0,0,0
189,1,2,2,2
190,2,2,2,1
191,1,2,2,0
192,1,2,2,2
193,1,1,2,2
194,0,2,3,0
195,3,0,0,1
196,0,1,1,2
197,3,0,0,2
198,2,3,3,1
199,1,3,3,0
200,0,3,2,0
201,2,3,3,2
202,1,0,0,0
203,2,1,1,0
204,1,2,2,0
205,1,3,3,2
206,3,0,0,2
207,0,1,0,0
208,0,2,3,0
209,0,0,0,2
210,2,1,1,1
211,3,0,0,0
212,2,3,3,2
213,3,3,3,3
214,2,1,2,1
215,0,3,3,0
216,1,3,3,3
217,3,1,1,2
218,0,3,1,3
219,0,3,3,0
220,3,1,2,3
221,1,2,3,1
222,2,3,2,2
223,1,3,2,2
224,2,2,2,2
225,0,1,1,0
226,3,1,1,1
227,2,2,2,1
228,1,3,3,1
229,3,0,0,1
230,0,3,3,1
231,1,3,3,2
232,2,1,2,3
233,1,2,3,0
234,0,1,0,2
235,2,3,3,3
236,2,3,3,2
237,0,0,0,2
238,2,3,3,3
239,1,3,3,3
240,1,2,2,1
241,0,1,0,0
242,0,0,0,1
243,1,2,2,0
244,0,0,0,0
245,2,3,3,3
246,3,2,3,3
247,1,1,0,0
248,2,1,2,2
249,0,0,0,1
250,2,1,1,1
251,3,2,1,3
252,2,3,3,1
253,1,0,1,0
254,2,1,1,1
255,0,2,1,0
256,1,2,1,2
257,1,3,3,1
258,2,2,3,0
259,3,0,1,2
260,0,0,0,1
261,1,2,2,0
262,2,3,3,2
263,0,0,0,0
264,0,2,3,0
265,2,1,1,1
266,1,3,1,0
267,0,0,0,0
268,2,2,2,2
269,2,3,3,3
270,2,3,3,3
271,0,1,1,0
272,1,3,2,1
273,1,1,1,0
274,1,0,0,0
275,3,0,0,3
276,1,3,3,2
277,3,3,3,3
278,2,3,3,2
279,0,1,1,2
280,1,3,3,3
281,0,1,2,0
282,0,2,1,3
283,3,1,2,3
284,2,3,3,2
285,2,2,2,3
286,2,3,2,2
287,2,1,1,1
288,2,2,3,3
289,1,3,3,1
290,1,3,3,1
291,1,2,2,3
292,2,2,2,2
293,2,3,3,3
294,0,0,0,2
295,2,3,3,3
296,2,2,1,0
297,2,1,1,3
298,1,2,1,2
299,1,3,2,1
300,3,3,3,3
301,3,2,2,2
302,0,2,1,2
303,3,0,0,2
304,1,2,3,2
305,0,0,0,2
306,1,2,2,1
307,2,1,2,2
308,0,0,0,0
309,1,2,2,3
310,0,0,1,2
311,0,3,3,1
312,0,2,1,3
313,2,3,3,3
314,2,3,3,3
315,2,2,1,2
316,0,3,2,3
317,2,3,3,2
318,0,0,0,1
319,0,2,2,0
320,3,1,2,3
321,2,3,3,2
322,3,3,2,1
323,1,2,2,1
324,0,3,1,0
325,0,3,1,0
326,2,3,3,3
327,0,0,1,2
328,1,2,1,0
329,2,2,2,2
330,0,1,1,3
331,1,3,2,2
332,2,2,3,1
333,0,0,0,0
334,1,2,2,2
335,3,1,1,2
336,3,1,3,3
337,0,0,0,1
338,1,2,2,0
339,1,3,3,1
340,1,3,3,3
341,3,2,2,3
342,1,1,2,2
343,2,3,3,0
344,3,1,1,3
345,0,1,1,0
346,0,1,1,0
347,0,3,3,0
348,2,3,3,0
349,1,2,2,2
350,1,3,3,0
351,1,2,3,2
352,1,3,3,1
353,0,0,0,0
354,1,3,3,1
355,1,1,1,2
356,3,0,0,1
